GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
first-maven,com.dmdev,OneClass,0,6,0,0,0,2,0,2,0,2
first-maven,com.dmdev,App,7,0,0,0,3,0,2,0,2,0
